============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca  172 | train 0.62498 | val 0.62449 | AUC 0.7042 | lr 0.001603 | mom 0.977 | 225.6 min
epoca  173 | train 0.62496 | val 0.62427 | AUC 0.7045 | lr 0.001571 | mom 0.977 | 226.9 min
epoca  174 | train 0.62495 | val 0.62386 | AUC 0.7049 | lr 0.001540 | mom 0.978 | 228.2 min
epoca  175 | train 0.62499 | val 0.62530 | AUC 0.7026 | lr 0.001510 | mom 0.978 | 229.5 min
epoca  176 | train 0.62500 | val 0.62481 | AUC 0.7043 | lr 0.001480 | mom 0.979 | 230.8 min
epoca  177 | train 0.62495 | val 0.62413 | AUC 0.7037 | lr 0.001451 | mom 0.979 | 232.1 min
epoca  178 | train 0.62498 | val 0.62394 | AUC 0.7043 | lr 0.001422 | mom 0.980 | 233.4 min
epoca  179 | train 0.62498 | val 0.62428 | AUC 0.7039 | lr 0.001394 | mom 0.980 | 234.7 min
epoca  180 | train 0.62502 | val 0.62532 | AUC 0.7024 | lr 0.001366 | mom 0.981 | 236.1 min
epoca  181 | train 0.62499 | val 0.62389 | AUC 0.7044 | lr 0.001339 | mom 0.981 | 237.4 min
epoca  182 | train 0.62501 | val 0.62428 | AUC 0.7039 | lr 0.001313 | mom 0.981 | 238.7 min
epoca  183 | train 0.62504 | val 0.62350 | AUC 0.7049 | lr 0.001287 | mom 0.982 | 240.0 min
epoca  184 | train 0.62502 | val 0.62443 | AUC 0.7032 | lr 0.001261 | mom 0.982 | 241.1 min
epoca  185 | train 0.62505 | val 0.62486 | AUC 0.7037 | lr 0.001236 | mom 0.983 | 242.2 min
epoca  186 | train 0.62508 | val 0.62455 | AUC 0.7043 | lr 0.001212 | mom 0.983 | 243.5 min
epoca  187 | train 0.62506 | val 0.62364 | AUC 0.7050 | lr 0.001188 | mom 0.984 | 244.7 min
