============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca  167 | train 0.45113 | val 0.45172 | AUC 0.8671 | lr 0.001772 | mom 0.975 | 236.5 min
epoca  168 | train 0.45113 | val 0.45245 | AUC 0.8667 | lr 0.001737 | mom 0.975 | 237.9 min
epoca  169 | train 0.45101 | val 0.45425 | AUC 0.8663 | lr 0.001702 | mom 0.976 | 239.3 min
epoca  170 | train 0.45099 | val 0.45421 | AUC 0.8656 | lr 0.001669 | mom 0.976 | 240.7 min
epoca  171 | train 0.45100 | val 0.45396 | AUC 0.8662 | lr 0.001636 | mom 0.977 | 242.2 min
epoca  172 | train 0.45094 | val 0.45237 | AUC 0.8668 | lr 0.001603 | mom 0.977 | 243.6 min
epoca  173 | train 0.45080 | val 0.45404 | AUC 0.8659 | lr 0.001571 | mom 0.977 | 245.0 min
epoca  174 | train 0.45079 | val 0.45473 | AUC 0.8660 | lr 0.001540 | mom 0.978 | 246.4 min
epoca  175 | train 0.45075 | val 0.45826 | AUC 0.8654 | lr 0.001510 | mom 0.978 | 247.8 min
epoca  176 | train 0.45086 | val 0.45418 | AUC 0.8657 | lr 0.001480 | mom 0.979 | 249.2 min
epoca  177 | train 0.45081 | val 0.45491 | AUC 0.8663 | lr 0.001451 | mom 0.979 | 250.7 min
epoca  178 | train 0.45079 | val 0.45363 | AUC 0.8668 | lr 0.001422 | mom 0.980 | 252.1 min
epoca  179 | train 0.45079 | val 0.46209 | AUC 0.8660 | lr 0.001394 | mom 0.980 | 253.5 min
epoca  180 | train 0.45082 | val 0.45388 | AUC 0.8660 | lr 0.001366 | mom 0.981 | 254.9 min
epoca  181 | train 0.45084 | val 0.45517 | AUC 0.8653 | lr 0.001339 | mom 0.981 | 256.3 min
epoca  182 | train 0.45092 | val 0.45208 | AUC 0.8671 | lr 0.001313 | mom 0.981 | 257.7 min
epoca  183 | train 0.45095 | val 0.45132 | AUC 0.8677 | lr 0.001287 | mom 0.982 | 259.2 min
epoca  184 | train 0.45101 | val 0.45665 | AUC 0.8668 | lr 0.001261 | mom 0.982 | 260.6 min
epoca  185 | train 0.45107 | val 0.45520 | AUC 0.8652 | lr 0.001236 | mom 0.983 | 262.0 min
epoca  186 | train 0.45113 | val 0.45456 | AUC 0.8658 | lr 0.001212 | mom 0.983 | 263.4 min
epoca  187 | train 0.45115 | val 0.45326 | AUC 0.8663 | lr 0.001188 | mom 0.984 | 264.8 min
epoca  188 | train 0.45130 | val 0.45324 | AUC 0.8666 | lr 0.001164 | mom 0.984 | 266.2 min
epoca  189 | train 0.45149 | val 0.45312 | AUC 0.8669 | lr 0.001141 | mom 0.985 | 267.7 min
epoca  190 | train 0.45164 | val 0.45884 | AUC 0.8638 | lr 0.001119 | mom 0.985 | 269.1 min
