============================================================
Configurazione : deep_low
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_low_seme0

epoca  197 | train 0.46355 | val 0.46589 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 292.4 min
epoca  198 | train 0.46355 | val 0.46589 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 293.4 min
epoca  199 | train 0.46354 | val 0.46589 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 294.4 min
epoca  200 | train 0.46354 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 295.4 min
epoca  201 | train 0.46354 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 296.4 min
epoca  202 | train 0.46353 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 297.4 min
epoca  203 | train 0.46353 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 298.4 min
epoca  204 | train 0.46353 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 299.4 min
epoca  205 | train 0.46353 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 300.4 min
epoca  206 | train 0.46353 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 301.4 min
epoca  207 | train 0.46353 | val 0.46588 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 302.4 min
