============================================================
Configurazione : shallow_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_complete_seme0

epoca  164 | train 0.53223 | val 0.53287 | AUC 0.8093 | lr 0.001881 | mom 0.973 | 219.2 min
epoca  165 | train 0.53216 | val 0.53026 | AUC 0.8089 | lr 0.001844 | mom 0.974 | 220.6 min
epoca  166 | train 0.53217 | val 0.53013 | AUC 0.8090 | lr 0.001808 | mom 0.974 | 221.9 min
epoca  167 | train 0.53202 | val 0.53011 | AUC 0.8091 | lr 0.001772 | mom 0.975 | 223.2 min
epoca  168 | train 0.53202 | val 0.52997 | AUC 0.8095 | lr 0.001737 | mom 0.975 | 224.6 min
epoca  169 | train 0.53195 | val 0.52960 | AUC 0.8096 | lr 0.001702 | mom 0.976 | 226.0 min
epoca  170 | train 0.53189 | val 0.52958 | AUC 0.8097 | lr 0.001669 | mom 0.976 | 227.3 min
epoca  171 | train 0.53187 | val 0.53137 | AUC 0.8080 | lr 0.001636 | mom 0.977 | 228.6 min
epoca  172 | train 0.53185 | val 0.53029 | AUC 0.8086 | lr 0.001603 | mom 0.977 | 229.9 min
epoca  173 | train 0.53181 | val 0.52954 | AUC 0.8095 | lr 0.001571 | mom 0.977 | 231.2 min
epoca  174 | train 0.53171 | val 0.52988 | AUC 0.8096 | lr 0.001540 | mom 0.978 | 232.6 min
